bus_id,line_id,starting_city,departure_node,departure_timestep,arrival_city,arrival_node,arrival_timestep,day_type,E_total_start,E_total_end,E_total,travel_time
50401,502,Chiasso_Stazione,1,363,Cantine_di_Sotto,2,399,lu_vac,19.785,20.806,1.0210000000000008,36
50402,502,Chiasso_Stazione,1,393,Cantine_di_Sotto,2,429,lu_vac,23.453,24.479,1.0259999999999998,36
50403,502,Chiasso_Stazione,1,423,Cantine_di_Sotto,2,459,lu_vac,23.683,24.714,1.0309999999999988,36
50202,502,Chiasso_Stazione,1,453,Cantine_di_Sotto,2,489,lu_vac,22.577,23.613,1.0359999999999978,36
50203,502,Chiasso_Stazione,1,483,Cantine_di_Sotto,2,519,lu_vac,22.58,23.618,1.0380000000000003,36
50201,502,Chiasso_Stazione,1,513,Cantine_di_Sotto,2,549,lu_vac,22.58,23.618,1.0380000000000003,36
50401,502,Chiasso_Stazione,1,543,Cantine_di_Sotto,2,579,lu_vac,45.254,46.284,1.0300000000000011,36
50402,502,Chiasso_Stazione,1,573,Cantine_di_Sotto,2,609,lu_vac,48.928,49.947,1.0190000000000055,36
50403,502,Chiasso_Stazione,1,603,Cantine_di_Sotto,2,639,lu_vac,49.163,50.168,1.0050000000000026,36
50202,502,Chiasso_Stazione,1,633,Cantine_di_Sotto,2,669,lu_vac,48.06,49.049,0.9889999999999972,36
50203,502,Chiasso_Stazione,1,663,Cantine_di_Sotto,2,699,lu_vac,48.061,49.043,0.9819999999999993,36
50201,502,Chiasso_Stazione,1,693,Cantine_di_Sotto,2,729,lu_vac,48.058,49.036,0.9780000000000015,36
50401,502,Chiasso_Stazione,1,723,Cantine_di_Sotto,2,759,lu_vac,70.707,71.682,0.9750000000000085,36
50402,502,Chiasso_Stazione,1,753,Cantine_di_Sotto,2,789,lu_vac,74.346,75.316,0.9699999999999989,36
50403,502,Chiasso_Stazione,1,783,Cantine_di_Sotto,2,819,lu_vac,74.542,75.512,0.9699999999999989,36
50202,502,Chiasso_Stazione,1,813,Cantine_di_Sotto,2,849,lu_vac,73.384,74.337,0.953000000000003,36
50203,502,Chiasso_Stazione,1,843,Cantine_di_Sotto,2,879,lu_vac,73.358,74.306,0.9479999999999933,36
50201,502,Chiasso_Stazione,1,873,Cantine_di_Sotto,2,909,lu_vac,73.34,74.286,0.945999999999998,36
50401,502,Chiasso_Stazione,1,903,Cantine_di_Sotto,2,939,lu_vac,95.978,96.921,0.943000000000012,36
